ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Observação de compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição,Marcas
601,simple,1977,,"CLORO ATIVO 5L GUIMARAES",1,0,visible,,"Desinfetante clorado concentrado, ideal para higienização de grandes áreas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/1977.jpg,,,,,,,,,0,
602,simple,CLORO14,,"CLORO PACE 10 KG ACAO TOTAL",1,0,visible,,"Cloro granulado de ação total, 10 kg, tratamento completo da piscina.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CLORO14.jpg,,,,,,,,,0,
603,simple,41374,,"COLETORA PLASTICA 120l. C/RODAS MODO EUROPEU  VERDE- NOBRE",1,0,visible,,"Coletora de lixo com rodas, 120L, resistente, padrão europeu, cor verde.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/41374.jpg,,,,,,,,,0,
604,simple,CONTA2,,"CONTAINER DE LIXO 1000 LITROS ROTO - MARROM REFORÇADO",1,0,visible,,"Container reforçado de 1000 litros, ideal para descarte em ambientes comerciais.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CONTA2.jpg,,,,,,,,,0,
605,simple,COPO12,,"COPO 180 ML",1,0,visible,,"Copos descartáveis 180 ml, uso geral, ideais para eventos e empresas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/COPO12.jpg,,,,,,,,,0,
606,simple,CORRE3,,"CORRETIVO ERROREX",1,0,visible,,"Corretivo líquido branco, ideal para correções rápidas em documentos impressos.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CORRE3.jpg,,,,,,,,,0,
607,simple,DISPE3,,"DISPENSER PAPEL TOALHA  PRETO",1,0,visible,,"Dispenser para papel toalha, cor preta, design moderno e funcional.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/DISPE3.jpg,,,,,,,,,0,
608,simple,48399,,"Dispenser p/hig. rolao 300/500m. preto Street - Nobre",1,0,visible,,"Dispenser preto para papel higiênico rolo, uso comercial intenso.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/48399.jpg,,,,,,,,,0,
609,simple,53308,,"Dispenser poupador de copos 150 a 200ml Branco -Multicopo- Nobre",1,0,visible,,"Dispenser para copos descartáveis, branco, com capacidade para 150 a 200ml.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/53308.jpg,,,,,,,,,0,
610,simple,48401,,"Dispenser p/papel toalha 1/3D.branco Street - Nobre",1,0,visible,,"Dispenser para papel toalha interfolha, modelo Street branco, resistente.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/48401.jpg,,,,,,,,,0,
611,simple,48394,,"Dispenser p/sabonete espuma 800ml. (c/ reserv.) preto STREET - Nobre",1,0,visible,,"Dispenser para sabonete espuma, com reservatório, cor preta, linha Street.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/48394.jpg,,,,,,,,,0,
612,simple,EXTEN2,,"EXTENSAO DE 20M",1,0,visible,,"Extensão elétrica com 20 metros, ideal para uso residencial ou profissional.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/EXTEN2.jpg,,,,,,,,,0,
613,simple,600032,,"FITA TESTE HTH 3 EM 1 C/25 FITAS HTH",1,0,visible,,"Fitas de teste para piscina, verificam pH, cloro e alcalinidade.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,,,,,,,,,,0,
614,simple,GELAD2,,"GEL ADESIVO PATO C/APLICADOR",1,0,visible,,"Gel adesivo para sanitários, com aplicador, limpeza e perfume prolongado.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/GELAD2.jpg,,,,,,,,,0,
615,simple,LIMPA23,,"LIMPA BORDA HIDROAZUL",1,0,visible,,"Produto para limpeza de bordas de piscina, remove sujeiras e oleosidade.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/LIMPA23.jpg,,,,,,,,,0,
616,simple,LIMPA15,,"LIMPA BORDA PISCINA GENCO",1,0,visible,,"Limpa borda concentrado para piscinas, remove gordura e sujeiras.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/LIMPA15.jpg,,,,,,,,,0,
617,simple,9067,,"LIMPADOR DESENGRAXANTE SANOL PRO 1L",1,0,visible,,"Desengraxante poderoso para limpeza pesada, uso profissional.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/9067.jpg,,,,,,,,,0,
618,simple,9015,,"LIMPA PISOS DE OFICINAS E INDUSTRIAS SANOL PRO 1L",1,0,visible,,"Limpador para pisos industriais, remove graxa e sujeiras difíceis.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,,,,,,,,,,0,
619,simple,810,,"LIMPA VIDROS UTIL 500ML SPRAY",1,0,visible,,"Spray limpador para vidros, brilho sem manchas, uso doméstico.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/810.jpg,,,,,,,,,0,
620,simple,831,,"LIMPA VIDROS UTIL - SQUEEZE 500ML",1,0,visible,,"Limpador de vidros com squeeze, prático e eficiente.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,,,,,,,,,,0,
621,simple,LIXEI12,,"LIXEIRA BRANCA 20 LITROS COM PEDAL  RBL",1,0,visible,,"Lixeira branca com pedal, capacidade de 20 litros, ideal para banheiros.",,,taxable,,1,1,,0,0,,,,,1,,,,Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/LIXEI12.jpg,,,,,,,,,0,
622,simple,59181,,"LIXEIRA PLASTICA C/PEDAL 50 L MARRON - NOBRE",1,0,visible,,"Lixeira plástica marrom com pedal, 50 litros, uso intenso.",,,taxable,,1,1,,0,0,,,,,1,,,,Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/59181.jpg,,,,,,,,,0,
623,simple,LIXEI21,,"LIXEIRA PRETA 15 COM PEDAL LITROS RBL",1,0,visible,,"Lixeira preta com pedal, 15 litros, ideal para escritórios.",,,taxable,,1,1,,0,0,,,,,1,,,,Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/LIXEI21.jpg,,,,,,,,,0,
624,simple,29200,,"LUSTRA MOVEIS 200 ML LAVANDA - NOBRE",1,0,visible,,"Lustra móveis com fragrância lavanda, brilho e proteção para superfícies de madeira.",,,taxable,,1,1,,0,0,,,,,1,,,,Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/29200.jpg,,,,,,,,,0,
625,simple,LUSTR4,,"LUSTRA MOVEIS PEROBA 450ML",1,0,visible,,"Lustra móveis Peroba, ação hidratante e brilho intenso para móveis.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/LUSTR4.jpg,,,,,,,,,0,
626,simple,LUVAD3,,"LUVA DE BORRACHA VERDE",1,0,visible,,"Luva de borracha verde, proteção para uso doméstico e profissional.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/LUVAD3.jpg,,,,,,,,,0,
627,simple,LUVAR2,,"LUVA LATEX REFORÇADA - MAX ORANGE DANNY P",1,0,visible,,"Luva de látex reforçada, alta resistência, ideal para limpeza pesada.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/LUVAR2.jpg,,,,,,,,,0,
628,simple,1011530,,"MANG. PVC JARDIM 12X 20M SUPER FLEX CENGATES 79212201 TRAMONTINA",1,0,visible,,"Mangueira flexível para jardim, 20 metros, com engates rápidos, Tramontina.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/1011530.jpg,,,,,,,,,0,
629,simple,1011525,,"MANG. PVC JARDIM 12X 30M SUPER FLEX CENGATES 79212301 TRAMONTINA",1,0,visible,,"Mangueira Tramontina 30 metros, flexível, com engates, uso em jardins.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/1011525.jpg,,,,,,,,,0,
630,simple,MOPES1,,"MOP ESFREGÃO ALGODÃO C/ CABO DALCIN",1,0,visible,,"Mop com esfregão de algodão e cabo, limpeza eficiente e prática.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/MOPES1.jpg,,,,,,,,,0,
631,simple,MOPLA1,,"MOP LAVA E SECA PLASTICA",1,0,visible,,"Mop plástico para lavar e secar pisos com sistema giratório prático e fácil de usar.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/MOPLA1.jpg,,,,,,,,,0,
632,simple,MOPSP1,,"MOP SPRAY PLASTICO BETTANIN",1,0,visible,,"Mop spray plástico Bettanin, limpa e higieniza pisos sem necessidade de balde.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/MOPSP1.jpg,,,,,,,,,0,
633,simple,9068,,"MULTILIMPADOR FLOTADOR SANOL PRO 1LT",1,0,visible,,"Multilimpador flotador Sanol Pro 1 litro, remove sujeiras difíceis sem enxágue.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/9068.jpg,,,,,,,,,0,
634,simple,"OXY 1000",,"OXY 1000 5L PEROXI",1,0,visible,,"Oxy 1000 5L peróxi, limpador oxidante para superfícies com ação desinfetante.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/OXY-1000.jpg,,,,,,,,,0,
635,simple,PACAB1,,"PA CABO COM CABO",1,0,visible,,"Pá plástica com cabo longo, ideal para recolher resíduos sem esforço.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/PACAB1.jpg,,,,,,,,,0,
636,simple,56753,,"Pano de microfibra 40x40cm ( pacote c/ 2 unid.) azul Slim - Nobre",1,0,visible,,"Pano microfibra azul 40x40cm, pacote com 2 unidades, ideal para limpeza geral.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/56753.jpg,,,,,,,,,0,
637,simple,1582,,"PAPEL HIGIENICO ROLL-OM 8X300M SUELL BRANCO LUXO",1,0,visible,,"Papel higiênico branco luxo, 8 rolos de 300m cada, suave e resistente.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/1582.jpg,,,,,,,,,0,
638,simple,PAPEL12,,"PAPEL TOALHA 20X21  INTERFOLHADO CELULOSE C/1000 AMETISTA",1,0,visible,,"Papel toalha interfolhado 20x21cm, 1000 folhas de celulose, alta absorção.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/PAPEL12.jpg,,,,,,,,,0,
639,simple,54927,,"PEDRA SANITARIA LAVANDA - UP PRO FRESH 25G NOBRE",1,0,visible,,"Pedra sanitária lavanda 25g, perfuma e higieniza vasos sanitários por semanas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/54927.jpg,,,,,,,,,0,
640,simple,PINCE5,,"PINCEL 2 POLEGADAS",1,0,visible,,"Pincel 2 polegadas para pintura, acabamento ou limpeza em locais detalhados.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/PINCE5.jpg,,,,,,,,,0,
641,simple,PLACA2,,"PLACA CARRINHO",1,0,visible,,"Placa para identificação de carrinho ou área de limpeza.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/PLACA2.jpg,,,,,,,,,0,
642,simple,31834,,"PLACA SINALIZADORA - EM MANUTENÇÃO - NOBRE",1,0,visible,,"Placa sinalizadora 'Em Manutenção', resistente, ideal para segurança de ambientes.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/31834.jpg,,,,,,,,,0,
643,simple,REAGE3,,"REAGENTE PH",1,0,visible,,"Reagente para medição e controle de pH em soluções químicas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/REAGE3.jpg,,,,,,,,,0,
644,simple,REGAD1,,"REGADOR JARDIM",1,0,visible,,"Regador para jardim com bico direcionador, ideal para plantas pequenas e médias.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
645,simple,REPEL2,,"REPELENTE LIQUIDO PARA MOSQUITOS",1,0,visible,,"Repelente líquido contra mosquitos, eficaz para uso doméstico e comercial.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
646,simple,RODOD1,,"RODO DE PIA PEQUENO",1,0,visible,,"Rodo pequeno para pia, ideal para limpeza e secagem de superfícies.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/RODOD1.jpg,,,,,,,,,0,
647,simple,1770,,"SABAO BARRA GIRANDO SOL AZUL 200G",1,0,visible,,"Sabão barra azul Girando Sol 200g, limpeza eficaz de roupas e utensílios.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/1770.jpg,,,,,,,,,0,
648,simple,SABAO3,,"SABÃO BARRA GLICERINA YPE",1,0,visible,,"Sabão em barra glicerinado Ypê, delicado e eficiente na lavagem de roupas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
649,simple,SACOD9,,"SACO DE LIXO 15 L BRANCO HOSPITALAR COM SIMBOLO INFECTANTE",1,0,visible,,"Saco de lixo hospitalar 15L branco com símbolo infectante, uso em ambientes médicos.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
650,simple,SACOD3,,"SACO DE LIXO 40L PRETO C/100 C",1,0,visible,,"Saco de lixo preto 40L, pacote com 100 unidades, resistente.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/SACOD3.jpg,,,,,,,,,0,
651,simple,1057218,,"SAPATO COU.CAD.SBIQ. 43 S.PU BIDENSIDADE SV60500 CONFORTO",1,0,visible,,"Sapato de segurança sem biqueira, confortável, couro legítimo, solado bidensidade, numeração 43.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
652,simple,TESOU3,,TESOURA,1,0,visible,,"Tesoura multiuso para escritório, casa ou limpeza, cabo anatômico.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/TESOU3.jpg,,,,,,,,,0,
653,simple,TINTA2,,"TINTA PARA CARIMBO",1,0,visible,,"Tinta para carimbo com secagem rápida, ideal para escritórios e caixas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/TINTA2.jpg,,,,,,,,,0,
654,simple,TOALH1,,"TOALHA MAGICA",1,0,visible,,"Toalha mágica absorvente reutilizável, ideal para secagem rápida e limpeza geral.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
655,simple,613,,"TRAMONTINA - JARDIM ENGATE RAPIDO JARDIM",1,0,visible,,"Engate rápido para mangueiras Tramontina, fácil encaixe e resistência.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/613.jpg,,,,,,,,,0,
656,simple,72444,,"TRAMONTINA - JARDIM ESGUICHO JATO REGULAVEL",1,0,visible,,"Esguicho jato regulável Tramontina, ideal para regar e lavar.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/72444.jpg,,,,,,,,,0,
657,simple,VASSO7,,"VASSOURA GAUCHINHA C/CABO",1,0,visible,,"Vassoura tipo gaúcha com cabo, resistente, ideal para varrição pesada.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/VASSO7.jpg,,,,,,,,,0,
658,simple,21448,,"VASSOURA PALHA 04 FIOS C/CABO - CARINHOSA DALCIN D154",1,0,visible,,"Vassoura palha 4 fios com cabo, marca Dalcín, limpeza pesada.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/21448.jpg,,,,,,,,,0,
659,simple,VELAM1,,"VELA MULTIUSO CAMPESTRE",1,0,visible,,"Vela multiuso Campestre, ideal para emergências e iluminação alternativa.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/VELAM1.jpg,,,,,,,,,0,
660,simple,AJAXF2,,"AJAX FESTA DS FLORES LAVANDA 3,8 l",1,0,visible,,"Ajax lavanda 3,8L, limpador perfumado de uso geral.",,,taxable,,0,0,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/AJAXF2.jpg,,,,,,,,,0,
661,simple,AJAXF1,,"AJAX LEMON FRESH 1L",1,0,visible,,"Ajax lemon 1L, limpa, desengordura e perfuma com aroma cítrico.",,,taxable,,0,0,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/AJAXF1.jpg,,,,,,,,,0,
662,simple,1487,,"AROMATIZANTE  STYLUS   500ML C/GATILHO BLIMM",1,0,visible,,"Aromatizante Stylus 500ml com gatilho, perfume duradouro para ambientes.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
663,simple,BALDE10,,"BALDE C/ESCORREDOR DALCIN 14 L - PRETO",1,0,visible,,"Balde com escorredor Dalcín 14L preto, ideal para uso com mop.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/BALDE10.jpg,,,,,,,,,0,
664,simple,BALDE1,,"BALDE C/ESCORREDOR NOVIÇA 14 L",1,0,visible,,"Balde com escorredor Noviça 14L, prático e resistente.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/BALDE1.jpg,,,,,,,,,0,
665,simple,32,,"CARRINHO COLETOR DE 240 LITROS - VERMELHO",1,0,visible,,"Carrinho coletor 240L vermelho, ideal para coleta de resíduos.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/32.jpg,,,,,,,,,0,
666,simple,60725,,"Carro balde 32l (c/espr. cabo inclinado preto) amarelo - Nobre",1,0,visible,,"Carro balde 32L com espremedor e cabo inclinado, cor amarela.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/60725.jpg,,,,,,,,,0,
667,simple,31249,,"Carro p/limp. prof. 34l (balde duplo azul e verm., espremedor e alavanca/manopla azul) cinza - Nobre",1,0,visible,,"Carro limpeza profissional 34L com baldes duplos, espremedor e alavanca.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/31249.jpg,,,,,,,,,0,
668,simple,41373,,"COLETORA PLASTICA 120l. C/RODAS MARROM - NOBRE",1,0,visible,,"Coletora plástica 120L marrom com rodas, resistente e prática.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/41373.jpg,,,,,,,,,0,
669,simple,CONEB1,,"CONE BALIZADOR, 105CM",1,0,visible,,"Cone balizador 105cm, sinalização de segurança para áreas restritas.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/CONEB1.jpg,,,,,,,,,0,
670,simple,1057,,"CONTAINER DE LIXO 1000 LITROS ROTO - VERDE REFORÇADO",1,0,visible,,"Container de lixo 1000L verde reforçado, ideal para grandes volumes.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/1057.jpg,,,,,,,,,0,
671,simple,COPOP1,,"COPO PLÁSTICO 50ML",1,0,visible,,"Copo plástico 50ml descartável, ideal para água ou degustações.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/COPOP1.jpg,,,,,,,,,0,
672,simple,CORTI1,,"CORTINA PLASTICA PARA BOX BANHEIRO",1,0,visible,,"Cortina plástica para box de banheiro, proteção contra respingos.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,,,,,,,,,,0,
673,simple,DESIN14,,"DESINFETANTE 5 LITROS LAVANDA UTIL",1,0,visible,,"Desinfetante 5L lavanda, perfuma e higieniza ambientes domésticos e comerciais.",,,taxable,,1,2,,0,0,,,,,1,,,"9,99",Uncategorized,,,https://cleanx.com.br/wp-content/uploads/2025/05/DESIN14.jpg,,,,,,,,,0,
